CompoundID,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
Cer.41:1;O3|Cer.17:1;O2/24:0;O__Pp,0,0,0,0,2.23E-05,0,0,0,0,2.51E-05,0,0,0,0,0,0,0,0,0,2.30E-05,0,0,0,0,0,0,0
Cer.41:2;O2|Cer.20:2;O2/21:0__Pp,0,0,0,0,1.49E-05,0,0,0,0,0,0,0,0,1.12E-05,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0
Cer.42:1;O2|Cer.16:1;O2/26:0__Pp,5.86E-05,5.58E-05,9.20E-05,7.61E-05,0.000164097,0.000125649,5.85E-05,6.72E-05,6.75E-05,7.82E-05,5.89E-05,0.000120838,5.74E-05,9.87E-05,8.30E-05,6.81E-05,5.89E-05,6.52E-05,2.13E-05,0.000170982,0.000106502,0.000102591,9.55E-05,5.21E-05,0.000113569,4.43E-05,5.83E-05
Cer.42:1;O3|Cer.16:1;O2/26:0;O__Pp,1.62E-05,1.55E-05,2.99E-05,1.93E-05,4.15E-05,3.24E-05,1.66E-05,0,2.34E-05,2.76E-05,0,3.65E-05,0,2.94E-05,2.38E-05,1.56E-05,0,0,0,4.39E-05,2.40E-05,3.43E-05,2.96E-05,1.42E-05,3.28E-05,0,1.79E-05
Cer.42:2;O2|Cer.16:1;O2/26:1__Pp,0,0,0,2.46E-05,2.56E-05,0,0,0,0,0,0,3.95E-05,1.31E-05,0,0,0,0,0,0,5.39E-05,4.03E-05,1.83E-05,0,0,0,0,0
Cer.43:1;O2|Cer.17:1;O2/26:0__Pp,1.03E-05,9.79E-06,4.87E-05,4.13E-05,8.81E-05,8.12E-05,1.41E-05,0,3.76E-05,3.83E-05,2.61E-05,6.47E-05,2.03E-05,5.43E-05,5.10E-05,2.92E-05,3.18E-05,3.78E-05,1.16E-05,9.08E-05,5.50E-05,5.68E-05,6.84E-05,2.19E-05,6.17E-05,1.75E-05,2.79E-05
Cer.44:1;O2|Cer.16:1;O2/28:0__Pp,5.93E-05,5.65E-05,9.29E-05,8.17E-05,0.000172275,0.000132747,5.59E-05,5.54E-05,6.59E-05,7.75E-05,6.43E-05,0.0001115,4.88E-05,6.59E-05,7.75E-05,5.88E-05,6.11E-05,6.78E-05,1.97E-05,0.00017118,9.69E-05,0.000102985,0.000109525,2.01E-05,0.000104384,3.96E-05,5.75E-05
Cer.44:1;O3|Cer.18:1;O2/26:0;O__Pp,2.11E-05,2.02E-05,2.41E-05,1.02E-05,6.17E-05,4.32E-05,2.21E-05,0,2.70E-05,2.67E-05,0,5.38E-05,2.08E-05,3.66E-05,2.76E-05,2.64E-05,2.45E-05,2.73E-05,0,6.03E-05,4.43E-05,3.88E-05,3.95E-05,0,3.92E-05,0,1.91E-05
Cer.45:0;O3|Cer.17:0;O2/28:0;O__Pp,3.52E-05,3.35E-05,3.99E-05,3.61E-05,7.37E-05,0,2.04E-05,0,2.77E-05,4.08E-05,2.77E-05,3.33E-05,1.97E-05,2.29E-05,4.42E-05,0,3.09E-05,0,0,5.57E-05,4.05E-05,2.53E-05,3.93E-05,1.61E-05,5.47E-05,0,2.79E-05
Cer.45:0;O4|Cer.22:0;O3/23:0(2OH)__Pp,0,0,0,1.08E-05,2.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59E-05,0,0,0,0,0,0,0
