Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P2,,2-W24p-2,4.5,Waterp,Water-24-PMAxx,W-24,Water,24 hr,24,PMAxx
P2,,2-W24p-3,4.79,Waterp,Water-24-PMAxx,W-24,Water,24 hr,24,PMAxx
P2,,2-W48p-1,5.08,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P2,,2-W48p-2,4.74,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P2,,2-W48p-3,4.63,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P2,,2-WBp-1,2.85,Waterp,Water-B-PMAxx,W-B,Water,Baseline,-12,PMAxx
P2,,2-WBp-2,2.96,Waterp,Water-B-PMAxx,W-B,Water,Baseline,-12,PMAxx
P3,,3-C06p-1,2.27,CHGp,CHG-06-PMAxx,C-06,CHG,6 hr,6,PMAxx
P3,,3-C06p-2,2.09,CHGp,CHG-06-PMAxx,C-06,CHG,6 hr,6,PMAxx
P3,,3-C06p-3,2.36,CHGp,CHG-06-PMAxx,C-06,CHG,6 hr,6,PMAxx
P3,,3-C0p-1,1.92,CHGp,CHG-0-PMAxx,C-0,CHG,0 hr,0,PMAxx
P3,,3-C0p-2,0.71,CHGp,CHG-0-PMAxx,C-0,CHG,0 hr,0,PMAxx
P3,,3-C0p-3,2.93,CHGp,CHG-0-PMAxx,C-0,CHG,0 hr,0,PMAxx
P3,,3-C12p-1,3.2,CHGp,CHG-12-PMAxx,C-12,CHG,12 hr,12,PMAxx
P3,,3-C12p-2,3.15,CHGp,CHG-12-PMAxx,C-12,CHG,12 hr,12,PMAxx
P3,,3-C12p-3,3.43,CHGp,CHG-12-PMAxx,C-12,CHG,12 hr,12,PMAxx
P3,,3-C24p-1,3.5,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P3,,3-C24p-2,3.76,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P3,,3-C24p-3,3.95,CHGp,CHG-24-PMAxx,C-24,CHG,24 hr,24,PMAxx
P3,,3-C48p-1,4.11,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P3,,3-C48p-2,3.66,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P3,,3-C48p-3,4.36,CHGp,CHG-48-PMAxx,C-48,CHG,48 hr,48,PMAxx
P3,,3-CBp-1,2.29,CHGp,CHG-B-PMAxx,C-B,CHG,Baseline,-12,PMAxx
