uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
I10,P1-K-25,1,3,P1,25,HeatKilled,2,17.667,17.701,0.102,"1,276.75","1,237.63",137.987,I17,P1-K-25p,23.128,22.996,0.117,8.577,9.678,1.241,5.295,7660517.261,7425797.887,51462.23199,58069.9083,0.671785341,0.782002274,7609055.029
I11,P1-K-05,1,1,P1,5,HeatKilled,2,18.685,18.951,0.242,502.124,393.861,111.31,I18,P1-K-05p,23.257,23.507,0.267,7.623,6.059,1.788,4.557,3012744.158,2363164.089,45739.38559,36356.0764,1.518196806,1.53844909,2967004.772
I12,P1-K-05,1,2,P1,5,HeatKilled,2,19.16,18.951,0.242,325.158,393.861,111.31,I19,P1-K-05p,23.478,23.507,0.267,6.226,6.059,1.788,4.557,1950945.547,2363164.089,37355.0806,36356.0764,1.914716721,1.53844909,1913590.466
I13,P1-K-05,1,3,P1,5,HeatKilled,2,19.006,18.951,0.242,374.217,393.861,111.31,I20,P1-K-05p,23.787,23.507,0.267,4.687,6.059,1.788,4.557,2245303.188,2363164.089,28124.85287,36356.0764,1.252608246,1.53844909,2217178.335
J8,P1-C-25,1,1,P1,25,CHG,3,19.977,19.627,0.473,153.752,212.006,128.092,J15,P1-C-25p,21.755,21.838,0.117,30.163,27.959,9.139,2.211,922513.9848,1272034.552,180975.0284,167755.1327,19.61759187,13.18793837,741538.9563
J9,P1-C-25,1,2,P1,25,CHG,3,19.814,19.627,0.473,178.595,212.006,128.092,J16,P1-C-25p,21.921,21.838,0.117,25.917,27.959,9.139,2.211,1071568.927,1272034.552,155500.9263,167755.1327,14.5115188,13.18793837,916068.0005
J10,P1-C-25,1,3,P1,25,CHG,3,19.089,19.627,0.473,347.02,212.006,128.092,,,,,,,,,,2082117.202,1272034.552,,,,,
J11,P1-C-05,1,1,P1,5,CHG,3,18.485,18.841,0.321,603.533,435.567,167.494,J18,P1-C-05p,21.713,20.657,0.223,31.359,82.461,21.392,1.817,3621198.651,2613401.864,188151.0628,494763.9863,5.195822736,18.93179894,3433047.588
J12,P1-C-05,1,2,P1,5,CHG,3,19.108,18.841,0.321,340.987,435.567,167.494,J19,P1-C-05p,21.412,20.657,0.223,41.299,82.461,21.392,1.817,2045920.142,2613401.864,247795.8676,494763.9863,12.11170771,18.93179894,1798124.274
J13,P1-C-05,1,3,P1,5,CHG,3,18.929,18.841,0.321,401.536,435.567,167.494,J20,P1-C-05p,21.847,20.657,0.223,27.726,82.461,21.392,1.817,2409217.693,2613401.864,166356.3747,494763.9863,6.904995559,18.93179894,2242861.318
