CompoundName,CleanName,CompoundID,LipidABV,Formula,Mass,RT,LargerLipidGroup.ABV,LargerLipidGroup,LIPIDClass_CommonName,LipidClass_LIPID_MAPS,LIPID_MAPS
FA 18:0,FA 18:0,FA.18:0__Np,FA,C18 H36 O2,284.2716,5.07,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:0,FA 18:0,FA.18:0__Np,FA,C18 H36 O2,284.2716,14.59,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:0_1,FA 18:0,FA.18:0_1__Np,FA,C18 H36 O2,284.2716,14.59,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:1,FA 18:1,FA.18:1__Np,FA,C18 H34 O2,282.2561,4.32,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:1,FA 18:1,FA.18:1__Np,FA,C18 H34 O2,282.256,4.33,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:1,FA 18:1,FA.18:1__Np,FA,C18 H34 O2,282.2561,4.32,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:1,FA 18:1,FA.18:1__Np,FA,C18 H34 O2,282.256,4.33,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:2,FA 18:2,FA.18:2__Np,FA,C18 H32 O2,280.2404,3.79,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:2,FA 18:2,FA.18:2__Np,FA,C18 H32 O2,280.2403,3.79,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:2,FA 18:2,FA.18:2__Np,FA,C18 H32 O2,280.2404,3.79,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 18:2,FA 18:2,FA.18:2__Np,FA,C18 H32 O2,280.2403,3.79,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 19:0,FA 19:0,FA.19:0__Np,FA,C19 H38 O2,298.2873,5.53,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,6.04,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,14.59,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3029,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3029,6.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,13.61,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,6.04,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,14.59,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3029,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3029,6.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0,FA 20:0,FA.20:0__Np,FA,C20 H40 O2,312.3028,13.61,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0_1,FA 20:0,FA.20:0_1__Np,FA,C20 H40 O2,312.3028,13.61,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0_2,FA 20:0,FA.20:0_2__Np,FA,C20 H40 O2,312.3028,13.61,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:0_3,FA 20:0,FA.20:0_3__Np,FA,C20 H40 O2,312.3028,13.61,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:1,FA 20:1,FA.20:1__Np,FA,C20 H38 O2,310.2872,5.1,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:1,FA 20:1,FA.20:1__Np,FA,C20 H38 O2,310.2872,5.11,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:1,FA 20:1,FA.20:1__Np,FA,C20 H38 O2,310.2872,5.1,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:1,FA 20:1,FA.20:1__Np,FA,C20 H38 O2,310.2872,5.11,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:2,FA 20:2,FA.20:2__Np,FA,C20 H36 O2,308.2715,4.46,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:3,FA 20:3,FA.20:3__Np,FA,C20 H34 O2,306.2559,3.97,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:3,FA 20:3,FA.20:3__Np,FA,C20 H34 O2,306.2558,3.98,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:3,FA 20:3,FA.20:3__Np,FA,C20 H34 O2,306.2559,3.97,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:3,FA 20:3,FA.20:3__Np,FA,C20 H34 O2,306.2558,3.98,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:5,FA 20:5,FA.20:5__Np,FA,C20 H30 O2,302.2245,3.41,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 20:6,FA 20:6,FA.20:6__Np,FA,C20 H28 O2,300.2089,2.44,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3184,6.54,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3187,13.84,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3185,6.52,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3184,6.54,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3187,13.84,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0,FA 21:0,FA.21:0__Np,FA,C21 H42 O2,326.3185,6.52,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 21:0_1,FA 21:0,FA.21:0_1__Np,FA,C21 H42 O2,326.3185,6.52,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.65,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.1,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3343,7.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,7.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.21,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,13.84,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.65,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.1,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3343,7.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,7.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,14.21,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3342,13.84,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0,FA 22:0,FA.22:0__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0_1,FA 22:0,FA.22:0_1__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0_2,FA 22:0,FA.22:0_2__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0_3,FA 22:0,FA.22:0_3__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0_4,FA 22:0,FA.22:0_4__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:0_5,FA 22:0,FA.22:0_5__Np,FA,C22 H44 O2,340.3341,13.36,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:1,FA 22:1,FA.22:1__Np,FA,C22 H42 O2,338.3185,6.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:1,FA 22:1,FA.22:1__Np,FA,C22 H42 O2,338.3186,6.01,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:1,FA 22:1,FA.22:1__Np,FA,C22 H42 O2,338.3185,6.02,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:1,FA 22:1,FA.22:1__Np,FA,C22 H42 O2,338.3186,6.01,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:2,FA 22:2,FA.22:2__Np,FA,C22 H40 O2,336.3028,5.24,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FA 22:4,FA 22:4,FA.22:4__Np,FA,C22 H36 O2,332.2715,4.2,Fatty Acyls,FA,Fatty acids,Fatty acids and conjugates ,FA01
FAHFA 16:0_18:2,FAHFA 16:0 18:2,FAHFA.16:0_18:2__Np,FAHFA,C34 H62 O4,534.4624,4.24,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:0_2:0,FAHFA 16:0 2:0,FAHFA.16:0_2:0__Np,FAHFA,C18 H34 O4,314.2458,3.82,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_16:1,FAHFA 16:1 16:1,FAHFA.16:1_16:1__Np,FAHFA,C32 H58 O4,506.4335,6.69,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_18:3,FAHFA 16:1 18:3,FAHFA.16:1_18:3__Np,FAHFA,C34 H58 O4,530.4312,3.6,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_18:3,FAHFA 16:1 18:3,FAHFA.16:1_18:3__Np,FAHFA,C34 H58 O4,530.4313,3.6,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_18:3,FAHFA 16:1 18:3,FAHFA.16:1_18:3__Np,FAHFA,C34 H58 O4,530.4312,3.6,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_18:3,FAHFA 16:1 18:3,FAHFA.16:1_18:3__Np,FAHFA,C34 H58 O4,530.4313,3.6,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_8:0,FAHFA 16:1 8:0,FAHFA.16:1_8:0__Np,FAHFA,C24 H44 O4,396.3239,4.49,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 16:1_9:0,FAHFA 16:1 9:0,FAHFA.16:1_9:0__Np,FAHFA,C25 H46 O4,410.3395,4.73,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 18:0_20:2,FAHFA 18:0 20:2,FAHFA.18:0_20:2__Np,FAHFA,C38 H70 O4,590.525,5.07,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 18:1_20:3,FAHFA 18:1 20:3,FAHFA.18:1_20:3__Np,FAHFA,C38 H66 O4,586.4937,4.32,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 2:0_18:0,FAHFA 2:0 18:0,FAHFA.2:0_18:0__Np,FAHFA,C20 H38 O4,342.277,3.48,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 20:1_20:2,FAHFA 20:1 20:2,FAHFA.20:1_20:2__Np,FAHFA,C40 H72 O4,616.5414,5.1,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
FAHFA 24:0_2:0,FAHFA 24:0 2:0,FAHFA.24:0_2:0__Np,FAHFA,C26 H50 O4,426.3708,7.21,Fatty Acyls,FA,Fatty Esters,Fatty Acyl Esters of Hydroxy Fatty Acid,FA07
GlcADG 14:0_18:5,GlcADG 14:0 18:5,GlcADG.14:0_18:5__Np,GlcADG,C41 H66 O11,734.4618,4.3,Glycerolipids ,GL,Glycosyldiradylglycerols,Glycosyldiradylglycerols,GL05
GlcADG 18:1_18:1,GlcADG 18:1 18:1,GlcADG.18:1_18:1__Pp,GlcADG,C45 H80 O11,796.5623,8.07,Glycerolipids ,GL,Glycosyldiradylglycerols,Glycosyldiradylglycerols,GL05
HexCer_AP t18:0_16:0,HexCer AP t18:0 16:0,HexCer_AP.t18:0_16:0__Np,HexCer_AP,C40 H79 N O10,733.5699,7.01,Sphingolipids ,SP,Hexosylceramides,Glucosylceramide a-hydroxy fatty acid-phytospingosine,
HexCer_AP t25:1_30:1,HexCer AP t25:1 30:1,HexCer_AP.t25:1_30:1__Np,HexCer_AP,C61 H117 N O10,1023.867,13.36,Sphingolipids ,SP,Hexosylceramides,Glucosylceramide a-hydroxy fatty acid-phytospingosine,
HexCer_NDS d36:1,HexCer NDS d36:1,HexCer_NDS.d36:1__Np,HexCer_NDS,C42 H81 N O8,727.596,8.58,Sphingolipids ,SP,Hexosylceramides,Glucosylceramide non-hydroxyfatty acid-dihydrosphingosine,
HexCer_NDS d40:1,HexCer NDS d40:1,HexCer_NDS.d40:1__Np,HexCer_NDS,C46 H89 N O8,783.6588,10.35,Sphingolipids ,SP,Hexosylceramides,Glucosylceramide non-hydroxyfatty acid-dihydrosphingosine,
HexCer_NDS d42:0,HexCer NDS d42:0,HexCer_NDS.d42:0__Np,HexCer_NDS,C48 H95 N O8,813.7054,11.41,Sphingolipids ,SP,Hexosylceramides,Glucosylceramide non-hydroxyfatty acid-dihydrosphingosine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3325,2.16,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3324,2.39,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3326,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3325,2.16,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3324,2.39,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0,LPC 16:0/0:0,LPC.16:0/0:0__Np,LPC,C24 H50 N O7 P,495.3326,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:0/0:0_1,LPC 16:0/0:0,LPC.16:0/0:0_1__Np,LPC,C24 H50 N O7 P,495.3326,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:1/0:0,LPC 16:1/0:0,LPC.16:1/0:0__Np,LPC,C24 H48 N O7 P,493.3171,1.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:1/0:0,LPC 16:1/0:0,LPC.16:1/0:0__Np,LPC,C24 H48 N O7 P,493.3169,1.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:1/0:0,LPC 16:1/0:0,LPC.16:1/0:0__Np,LPC,C24 H48 N O7 P,493.3171,1.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 16:1/0:0,LPC 16:1/0:0,LPC.16:1/0:0__Np,LPC,C24 H48 N O7 P,493.3169,1.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:0/0:0,LPC 18:0/0:0,LPC.18:0/0:0__Np,LPC,C26 H54 N O7 P,523.3638,3.6,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:0/0:0,LPC 18:0/0:0,LPC.18:0/0:0__Np,LPC,C26 H54 N O7 P,523.3638,3.6,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:0/0:0,LPC 18:0/0:0,LPC.18:0/0:0__Np,LPC,C26 H54 N O7 P,523.3638,3.6,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:0/0:0,LPC 18:0/0:0,LPC.18:0/0:0__Np,LPC,C26 H54 N O7 P,523.3638,3.6,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.3479,2.37,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.3481,2.59,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.348,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.3479,2.37,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.3481,2.59,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0,LPC 18:1/0:0,LPC.18:1/0:0__Np,LPC,C26 H52 N O7 P,521.348,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0_1,LPC 18:1/0:0,LPC.18:1/0:0_1__Np,LPC,C26 H52 N O7 P,521.348,2.38,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Pp,LPC,C26 H45 D7 N O7 P,528.3919,2.35,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Pp,LPC,C26 H45 D7 N O7 P,528.392,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Pp,LPC,C26 H45 D7 N O7 P,528.3921,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Pp,LPC,C26 H45 D7 N O7 P,528.392,2.34,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Pp,LPC,C26 H45 D7 N O7 P,528.3925,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3919,2.35,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.392,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3921,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.392,2.34,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3925,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3919,2.35,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.392,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3921,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.392,2.34,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7),LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)__Np,LPC,C26 H45 D7 N O7 P,528.3925,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7)_1,LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)_1__Np,LPC,C26 H45 D7 N O7 P,528.3925,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:1/0:0(d7)_1,LPC 18:1/0:0(d7),LPC.18:1/0:0(d7)_1__Np,LPC,C26 H45 D7 N O7 P,528.3925,2.57,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3324,1.69,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3325,1.69,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3323,1.85,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3324,1.69,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3325,1.69,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0,LPC 18:2/0:0,LPC.18:2/0:0__Np,LPC,C26 H50 N O7 P,519.3323,1.85,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 18:2/0:0_1,LPC 18:2/0:0,LPC.18:2/0:0_1__Np,LPC,C26 H50 N O7 P,519.3323,1.85,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPC 20:4/0:0,LPC 20:4/0:0,LPC.20:4/0:0__Np,LPC,C28 H50 N O7 P,543.3326,1.65,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylcholine,
LPE 16:0,LPE 16:0,LPE.16:0__Np,LPE,C21 H44 N O7 P,453.2852,2.47,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 16:0,LPE 16:0,LPE.16:0__Np,LPE,C21 H44 N O7 P,453.2856,2.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 16:0,LPE 16:0,LPE.16:0__Np,LPE,C21 H44 N O7 P,453.2852,2.47,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 16:0,LPE 16:0,LPE.16:0__Np,LPE,C21 H44 N O7 P,453.2856,2.46,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 16:1,LPE 16:1,LPE.16:1__Np,LPE,C21 H42 N O7 P,451.2702,1.51,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 18:0,LPE 18:0,LPE.18:0__Np,LPE,C23 H48 N O7 P,481.3168,3.68,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 18:0,LPE 18:0,LPE.18:0__Np,LPE,C23 H48 N O7 P,481.3167,3.68,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 18:0,LPE 18:0,LPE.18:0__Np,LPE,C23 H48 N O7 P,481.3168,3.68,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
LPE 18:0,LPE 18:0,LPE.18:0__Np,LPE,C23 H48 N O7 P,481.3167,3.68,Glycerophospholipids ,GP,Lysophospholipids,Lysophosphatidylethanolamine,
