Sample,Replicate,Pig ,Treatment,Time,Timepoint,TxTime,CFUmedia,Count ,Dilution ,CFU ,LogCFU,Notes
P3_W48.3,W48.3,P3,Water,48 hr,48,Water 48 hr,TSA,15,1.00E-06,1.16E+08,8.065392965,
P3_C48.1,C48.1,P3,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,31,1.00E-01,2.40E+03,3.380844126,
P3_C48.2,C48.2,P3,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,14,1.00E-01,1.09E+03,3.035829825,
P3_C48.3,C48.3,P3,Chloraprep,48 hr,48,Chloraprep 48 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F48.1,F48.1,P3,Full,48 hr,48,Full 48 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F48.2,F48.2,P3,Full,48 hr,48,Full 48 hr,TSA,0,1.00E+00,0.00E+00,0,
P3_F48.3,F48.3,P3,Full,48 hr,48,Full 48 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_WB.1,WB.1,P1,Water,Baseline,-12,Water Baseline,TSA,15,1.00E-03,1.16E+05,5.065396697,
P1_CB.1,CB.1,P1,Chloraprep,Baseline,-12,Chloraprep Baseline,TSA,55,1.00E-03,4.26E+05,5.629665411,
P1_FB.1,FB.1,P1,Full,Baseline,-12,Full Baseline,TSA,32,1.00E-03,2.48E+05,5.394453432,
P1_W0.1,W0.1,P1,Water,PostBath,0,Water PostBath,TSA,62,1.00E-05,4.81E+07,7.681693401,
P1_W0.2,W0.2,P1,Water,PostBath,0,Water PostBath,TSA,24,1.00E-05,1.86E+07,7.269512968,
P1_W0.3,W0.3,P1,Water,PostBath,0,Water PostBath,TSA,18,1.00E-05,1.40E+07,7.144574239,
P1_C0.1,C0.1,P1,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,0,1.00E+00,0.00E+00,0,
P1_C0.2,C0.2,P1,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,0,1.00E+00,0.00E+00,0,
P1_C0.3,C0.3,P1,Chloraprep,PostBath,0,Chloraprep PostBath,TSA,0,1.00E+00,0.00E+00,0,
