CompoundName,Formula,Mass,RT,LipidClass,LipidABV
DGTS 36:1|DGTS 18:0_18:1,C46 H87 N O7,765.648,9.49,,DGTS
DGTS 37:2,C47 H87 N O7,777.6482,9.21,,DGTS
DGTS 38:2|DGTS 19:1_19:1,C48 H89 N O7,791.6637,9.83,,DGTS
DGTS 46:5,C56 H99 N O7,897.7309,12.74,,DGTS
EOS(d9) (d18:1-d9/32:0/18:2),C68 H120 D9 N O5,1049.0438,14.49,,EOS(d9)
EtherOxPC 18:0e_20:3+1O,C46 H88 N O8 P,813.6247,9.15,,EtherOxPC
EtherPC 16:1e_16:0,C40 H80 N O7 P,717.5643,8.72,,EtherPC
EtherPC 16:1e_18:1,C42 H82 N O7 P,743.5813,8.8,,EtherPC
EtherPC 16:1e_18:2,C42 H80 N O7 P,741.5677,7.95,,EtherPC
EtherPC 16:1e_20:4,C44 H80 N O7 P,765.5673,7.75,,EtherPC
EtherPC 16:1e_20:4,C44 H80 N O7 P,765.5676,7.74,,EtherPC
EtherPC 18:0e_20:4,C46 H86 N O7 P,795.6143,8.86,,EtherPC
EtherPC 18:1e_16:0,C42 H84 N O7 P,745.5985,8.84,,EtherPC
EtherPC 18:1e_16:0,C42 H84 N O7 P,745.5987,8.83,,EtherPC
EtherPC 18:1e_18:2,C44 H84 N O7 P,769.6,8.89,,EtherPC
EtherPC 18:1e_20:4,C46 H84 N O7 P,793.5982,7.93,,EtherPC
EtherPC 18:1e_20:4,C46 H84 N O7 P,793.5988,8.71,,EtherPC
EtherPC 18:1e_20:4,C46 H84 N O7 P,793.5984,7.92,,EtherPC
EtherPC 18:2e_18:2,C44 H82 N O7 P,767.5828,7.94,,EtherPC
EtherPC 18:2e_18:2,C44 H82 N O7 P,767.5831,7.94,,EtherPC
EtherPC 18:2e_20:4,C46 H82 N O7 P,791.5827,7.79,,EtherPC
EtherPC 18:2e_20:4,C46 H82 N O7 P,791.5827,7.78,,EtherPC
EtherPC 18:3e_20:4,C46 H80 N O7 P,789.5671,7.05,,EtherPC
EtherPE 14:1e_16:1,C35 H68 N O7 P,645.4746,7.09,,EtherPE
EtherPE 14:1e_20:4,C39 H70 N O7 P,695.4891,7.07,,EtherPE
EtherPE 14:1e_20:4,C39 H70 N O7 P,695.4897,7.05,,EtherPE
EtherPE 16:1e_16:1,C37 H72 N O7 P,673.509,8.07,,EtherPE
EtherPE 16:1e_16:1,C37 H72 N O7 P,673.5091,8.04,,EtherPE
EtherPE 16:1e_18:1,C39 H76 N O7 P,701.5366,9.02,,EtherPE
EtherPE 16:1e_18:1,C39 H76 N O7 P,701.5365,9,,EtherPE
EtherPE 16:1e_18:2,C39 H74 N O7 P,699.5211,8.24,,EtherPE
EtherPE 16:1e_18:2,C39 H74 N O7 P,699.5233,8.2,,EtherPE
EtherPE 16:1e_20:4,C41 H74 N O7 P,723.5202,8.05,,EtherPE
EtherPE 16:1e_20:4,C41 H74 N O7 P,723.5202,8.03,,EtherPE
EtherPE 16:1e_22:4,C43 H78 N O7 P,751.5515,8.7,,EtherPE
EtherPE 16:1e_22:4,C43 H78 N O7 P,751.5516,8.69,,EtherPE
EtherPE 16:2e_18:2,C39 H72 N O7 P,697.5065,7.34,,EtherPE
EtherPE 18:1e_18:1,C41 H80 N O7 P,729.5682,9.88,,EtherPE
EtherPE 18:1e_18:2,C41 H78 N O7 P,727.5517,9.17,,EtherPE
EtherPE 18:1e_20:3,C43 H80 N O7 P,753.5674,9.41,,EtherPE
EtherPE 18:1e_20:4,C43 H78 N O7 P,751.5517,8.92,,EtherPE
EtherPE 18:1e_20:4,C43 H78 N O7 P,751.5517,8.95,,EtherPE
EtherPE 18:1e_22:4,C45 H82 N O7 P,779.5829,9.59,,EtherPE
EtherPE 18:1e_22:5,C45 H80 N O7 P,777.5674,8.9,,EtherPE
EtherPE 18:2e_18:2,C41 H76 N O7 P,725.5359,8.28,,EtherPE
EtherPE 18:2e_18:2,C41 H76 N O7 P,725.5361,8.26,,EtherPE
EtherPE 18:2e_20:4,C43 H76 N O7 P,749.536,8.06,,EtherPE
EtherPE 18:2e_20:4,C43 H76 N O7 P,749.5359,8.05,,EtherPE
EtherPE 18:2e_22:4,C45 H80 N O7 P,777.5667,8.76,,EtherPE
EtherPE 18:2e_22:4,C45 H80 N O7 P,777.5668,8.71,,EtherPE
EtherPE 18:2e_22:6,C45 H76 N O7 P,773.5363,7.76,,EtherPE
EtherPE 18:3e_18:2,C41 H74 N O7 P,723.5209,7.51,,EtherPE
EtherPE 18:3e_20:4,C43 H74 N O7 P,747.5202,7.33,,EtherPE
EtherPE 40:7e,C45 H78 N O7 P,775.5512,8.1,,EtherPE
EtherPE 40:7e,C45 H78 N O7 P,775.5515,8.1,,EtherPE
FA 16:0,C16 H32 O2,256.2403,4.24,,FA
FA 16:0,C16 H32 O2,256.2402,14.59,,FA
FA 16:0,C16 H32 O2,256.2404,4.24,,FA
FA 16:0,C16 H32 O2,256.2403,12.19,,FA
FA 16:1,C16 H30 O2,254.2246,3.6,,FA
FA 16:1,C16 H30 O2,254.2247,3.6,,FA
FA 17:0,C17 H34 O2,270.2559,3,,FA
FA 17:0,C17 H34 O2,270.256,3,,FA
FA 18:0,C18 H36 O2,284.2716,5.08,,FA
FA 18:0,C18 H36 O2,284.2716,5.07,,FA
FA 18:0,C18 H36 O2,284.2716,14.59,,FA
FA 18:1,C18 H34 O2,282.256,4.33,,FA
FA 18:1,C18 H34 O2,282.2561,4.32,,FA
FA 18:2,C18 H32 O2,280.2403,3.79,,FA
FA 18:2,C18 H32 O2,280.2404,3.79,,FA
FA 19:0,C19 H38 O2,298.2873,5.53,,FA
FA 20:0,C20 H40 O2,312.3028,6.04,,FA
FA 20:0,C20 H40 O2,312.3029,6.02,,FA
FA 20:0,C20 H40 O2,312.3028,14.59,,FA
FA 20:0,C20 H40 O2,312.3029,13.36,,FA
FA 20:0,C20 H40 O2,312.3028,13.61,,FA
FA 20:1,C20 H38 O2,310.2872,5.11,,FA
FA 20:1,C20 H38 O2,310.2872,5.1,,FA
FA 20:2,C20 H36 O2,308.2715,4.46,,FA
FA 20:3,C20 H34 O2,306.2558,3.98,,FA
FA 20:3,C20 H34 O2,306.2559,3.97,,FA
FA 20:5,C20 H30 O2,302.2245,3.41,,FA
FA 20:6,C20 H28 O2,300.2089,2.44,,FA
FA 21:0,C21 H42 O2,326.3184,6.54,,FA
FA 21:0,C21 H42 O2,326.3185,6.52,,FA
FA 21:0,C21 H42 O2,326.3187,13.84,,FA
FA 22:0,C22 H44 O2,340.3342,7.02,,FA
FA 22:0,C22 H44 O2,340.3343,7.02,,FA
FA 22:0,C22 H44 O2,340.3342,14.65,,FA
FA 22:0,C22 H44 O2,340.3342,14.1,,FA
FA 22:0,C22 H44 O2,340.3342,13.84,,FA
FA 22:0,C22 H44 O2,340.3342,14.21,,FA
FA 22:0,C22 H44 O2,340.3341,13.36,,FA
FA 22:1,C22 H42 O2,338.3185,6.02,,FA
FA 22:1,C22 H42 O2,338.3186,6.01,,FA
FA 22:2,C22 H40 O2,336.3028,5.24,,FA
FA 22:4,C22 H36 O2,332.2715,4.2,,FA
FAHFA 16:0_18:2,C34 H62 O4,534.4624,4.24,,FAHFA
FAHFA 16:0_2:0,C18 H34 O4,314.2458,3.82,,FAHFA
FAHFA 16:1_16:1,C32 H58 O4,506.4335,6.69,,FAHFA
FAHFA 16:1_18:3,C34 H58 O4,530.4312,3.6,,FAHFA
FAHFA 16:1_18:3,C34 H58 O4,530.4313,3.6,,FAHFA
FAHFA 16:1_8:0,C24 H44 O4,396.3239,4.49,,FAHFA
FAHFA 16:1_9:0,C25 H46 O4,410.3395,4.73,,FAHFA
FAHFA 18:0_20:2,C38 H70 O4,590.525,5.07,,FAHFA
FAHFA 18:1_20:3,C38 H66 O4,586.4937,4.32,,FAHFA
FAHFA 2:0_18:0,C20 H38 O4,342.277,3.48,,FAHFA
FAHFA 20:1_20:2,C40 H72 O4,616.5414,5.1,,FAHFA
FAHFA 24:0_2:0,C26 H50 O4,426.3708,7.21,,FAHFA
GlcADG 14:0_18:5,C41 H66 O11,734.4618,4.3,,GlcADG
GlcADG 18:1_18:1,C45 H80 O11,796.5623,8.07,,GlcADG
HexCer_AP t18:0_16:0,C40 H79 N O10,733.5699,7.01,,HexCer_AP
HexCer_AP t25:1_30:1,C61 H117 N O10,1023.867,13.36,,HexCer_AP
HexCer_NDS d36:1,C42 H81 N O8,727.596,8.58,,HexCer_NDS
HexCer_NDS d40:1,C46 H89 N O8,783.6588,10.35,,HexCer_NDS
HexCer_NDS d42:0,C48 H95 N O8,813.7054,11.41,,HexCer_NDS
LPC 16:0/0:0,C24 H50 N O7 P,495.3324,2.39,,LPC
LPC 16:0/0:0,C24 H50 N O7 P,495.3325,2.16,,LPC
LPC 16:0/0:0,C24 H50 N O7 P,495.3326,2.38,,LPC
LPC 16:1/0:0,C24 H48 N O7 P,493.3169,1.46,,LPC
LPC 16:1/0:0,C24 H48 N O7 P,493.3171,1.46,,LPC
LPC 18:0/0:0,C26 H54 N O7 P,523.3638,3.6,,LPC
LPC 18:0/0:0,C26 H54 N O7 P,523.3638,3.6,,LPC
LPC 18:1/0:0,C26 H52 N O7 P,521.348,2.38,,LPC
LPC 18:1/0:0,C26 H52 N O7 P,521.3481,2.59,,LPC
LPC 18:1/0:0,C26 H52 N O7 P,521.3479,2.37,,LPC
LPC 18:1/0:0(d7),C26 H45 D7 N O7 P,528.3925,2.57,,LPC
LPC 18:1/0:0(d7),C26 H45 D7 N O7 P,528.392,2.57,,LPC
LPC 18:1/0:0(d7),C26 H45 D7 N O7 P,528.3919,2.35,,LPC
LPC 18:1/0:0(d7),C26 H45 D7 N O7 P,528.3921,2.57,,LPC
LPC 18:1/0:0(d7),C26 H45 D7 N O7 P,528.392,2.34,,LPC
LPC 18:2/0:0,C26 H50 N O7 P,519.3324,1.69,,LPC
LPC 18:2/0:0,C26 H50 N O7 P,519.3323,1.85,,LPC
LPC 18:2/0:0,C26 H50 N O7 P,519.3325,1.69,,LPC
LPC 20:4/0:0,C28 H50 N O7 P,543.3326,1.65,,LPC
LPE 16:0,C21 H44 N O7 P,453.2852,2.47,,LPE
LPE 16:0,C21 H44 N O7 P,453.2856,2.46,,LPE
LPE 16:1,C21 H42 N O7 P,451.2702,1.51,,LPE
LPE 18:0,C23 H48 N O7 P,481.3167,3.68,,LPE
LPE 18:0,C23 H48 N O7 P,481.3168,3.68,,LPE
LPE 18:1,C23 H46 N O7 P,479.301,2.47,,LPE
LPE 18:1,C23 H46 N O7 P,479.3013,2.47,,LPE
LPE 18:1,C23 H46 N O7 P,479.3006,2.69,,LPE
LPE 18:1(d7),C23 H39 D7 N O7 P,486.3451,2.67,,LPE
LPE 18:1(d7),C23 H39 D7 N O7 P,486.3449,2.44,,LPE
LPE 18:1(d7),C23 H39 D7 N O7 P,486.3451,2.66,,LPE
LPE 18:1(d7),C23 H39 D7 N O7 P,486.3453,2.44,,LPE
LPE 18:2,C23 H44 N O7 P,477.2854,1.76,,LPE
LPE 18:2,C23 H44 N O7 P,477.2857,1.75,,LPE
LPE 20:4,C25 H44 N O7 P,501.2854,1.71,,LPE
LPE 20:4,C25 H44 N O7 P,501.2859,1.7,,LPE
NAE 22:0,C24 H49 N O2,383.3762,5.95,,NAE
NAE 22:3,C24 H43 N O2,377.327,3.92,,NAE
NAE 22:4,C24 H41 N O2,375.3116,3.62,,NAE
NAE 22:5,C24 H39 N O2,373.2957,2.94,,NAE
NAE 24:0,C26 H53 N O2,411.4079,6.84,,NAE
NAE 25:1,C27 H53 N O2,423.4061,3.76,,NAE
NAE 26:5,C28 H47 N O2,429.3575,3.96,,NAE
NAE 26:5,C28 H47 N O2,429.3574,3.83,,NAE
NAE 9:0,C11 H23 N O2,201.173,0.51,,NAE
PC 14:0_14:0,C36 H72 N O8 P,677.4978,6.46,,PC
PC 14:0_16:0,C38 H76 N O8 P,705.5301,7.32,,PC
PC 14:0_16:0,C38 H76 N O8 P,705.53,7.31,,PC
PC 14:0_16:1,C38 H74 N O8 P,703.5172,6.46,,PC
PC 14:0_16:1,C38 H74 N O8 P,703.5165,6.44,,PC
PC 14:1_16:1,C38 H72 N O8 P,701.4994,5.67,,PC
PC 15:0_16:1,C39 H76 N O8 P,717.5306,6.74,,PC
PC 15:0_18:1,C41 H80 N O8 P,745.5631,7.89,,PC
PC 15:0_18:1,C41 H80 N O8 P,745.5634,7.89,,PC
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.606,7.8,,PC
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6064,7.85,,PC
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6065,7.83,,PC
PC 15:0_18:2,C41 H78 N O8 P,743.5474,7.07,,PC
PC 15:0_18:2,C41 H78 N O8 P,743.5472,7.06,,PC
PC 16:0_16:0,C40 H80 N O8 P,733.5627,8.28,,PC
PC 16:0_16:0,C40 H80 N O8 P,733.5619,8.28,,PC
PC 16:0_16:0,C40 H80 N O8 P,733.5619,8.27,,PC
PC 16:0_16:1,C40 H78 N O8 P,731.5465,7.39,,PC
PC 16:0_16:1,C40 H78 N O8 P,731.5466,7.41,,PC
PC 16:0_16:1,C40 H78 N O8 P,731.5469,7.39,,PC
PC 16:0_17:0,C41 H82 N O8 P,747.5776,8.78,,PC
PC 16:0_18:0,C42 H84 N O8 P,761.5931,9.2,,PC
PC 16:0_18:0,C42 H84 N O8 P,761.5932,9.19,,PC
PC 16:0_18:1,C42 H82 N O8 P,759.5778,8.31,,PC
PC 16:0_18:1,C42 H82 N O8 P,759.5779,8.29,,PC
PC 16:0_18:2,C42 H80 N O8 P,757.5628,7.57,,PC
PC 16:0_18:2,C42 H80 N O8 P,757.5621,7.55,,PC
PC 16:0_18:2,C42 H80 N O8 P,757.5621,7.54,,PC
PC 16:0_19:1,C43 H84 N O8 P,773.5942,8.8,,PC
PC 16:0_20:4,C44 H80 N O8 P,781.562,7.38,,PC
PC 16:0_20:4,C44 H80 N O8 P,781.562,7.37,,PC
PC 16:1_16:1,C40 H76 N O8 P,729.5309,6.53,,PC
PC 16:1_16:1,C40 H76 N O8 P,729.531,6.52,,PC
PC 16:1_18:2,C42 H78 N O8 P,755.5462,6.7,,PC
PC 16:1_18:2,C42 H78 N O8 P,755.5464,6.68,,PC
PC 16:1_20:4,C44 H78 N O8 P,779.5471,6.51,,PC
PC 16:1_24:1,C48 H92 N O8 P,841.6564,9.99,,PC
PC 17:0_16:1,C41 H80 N O8 P,745.5649,7.69,,PC
PC 17:0_18:1,C43 H84 N O8 P,773.5943,8.8,,PC
PC 18:0_18:1,C44 H86 N O8 P,787.609,9.21,,PC
PC 18:0_18:1,C44 H86 N O8 P,787.6091,9.22,,PC
PC 18:0_18:1,C44 H86 N O8 P,787.6091,9.2,,PC
PC 18:0_18:2,C44 H84 N O8 P,785.5935,8.49,,PC
PC 18:0_18:2,C44 H84 N O8 P,785.5934,8.48,,PC
PC 18:0_20:3,C46 H86 N O8 P,811.6091,8.76,,PC
PC 18:0_20:3,C46 H86 N O8 P,811.6094,8.7,,PC
PC 18:0_20:4,C46 H84 N O8 P,809.5932,8.3,,PC
PC 18:0_20:4,C46 H84 N O8 P,809.5934,8.31,,PC
PC 18:0_20:4,C46 H84 N O8 P,809.5935,8.3,,PC
PC 18:0_22:4,C48 H88 N O8 P,837.6247,8.89,,PC
PC 18:1_18:2,C44 H82 N O8 P,783.5779,7.58,,PC
PC 18:1_18:2,C44 H82 N O8 P,783.5776,7.59,,PC
PC 18:1_18:2,C44 H82 N O8 P,783.5777,7.58,,PC
PC 18:1_20:4,C46 H82 N O8 P,807.5775,7.41,,PC
PC 18:1_20:4,C46 H82 N O8 P,807.5776,7.4,,PC
PC 18:2_18:2,C44 H80 N O8 P,781.5621,6.86,,PC
PC 18:2_18:2,C44 H80 N O8 P,781.5621,6.84,,PC
PC 18:2_20:2,C46 H84 N O8 P,809.5931,7.77,,PC
PC 18:2_20:2,C46 H84 N O8 P,809.5933,7.78,,PC
PC 18:2_20:4,C46 H80 N O8 P,805.5619,6.66,,PC
PC 18:2_20:4,C46 H80 N O8 P,805.5618,6.66,,PC
PC 19:0_18:2,C45 H86 N O8 P,799.6102,8.9,,PC
PC 20:1_20:4,C48 H86 N O8 P,835.6087,8.29,,PC
PC 20:2_20:4,C48 H84 N O8 P,833.5929,7.48,,PC
PC 20:4_20:4,C48 H80 N O8 P,829.5634,6.47,,PC
PC 22:0_18:1,C48 H94 N O8 P,843.6717,10.84,,PC
PC 22:1_18:2,C48 H90 N O8 P,839.6402,9.33,,PC
PC 30:0,C38 H76 N O8 P,705.5295,7.3,,PC
PC 30:2,C38 H72 N O8 P,701.5,5.66,,PC
PC 32:0|PC 16:0_16:0,C40 H80 N O8 P,733.5621,8.23,,PC
PC 32:2,C40 H76 N O8 P,729.531,6.51,,PC
PC 34:1,C42 H82 N O8 P,759.5813,8.29,,PC
PC 34:1,C42 H82 N O8 P,759.5821,8.24,,PC
PC 34:2,C42 H80 N O8 P,757.5631,7.54,,PC
PC 35:2,C43 H82 N O8 P,771.5756,8.04,,PC
PC 35:2,C43 H82 N O8 P,771.5775,8.04,,PC
PC 36:1,C44 H86 N O8 P,787.6093,9.13,,PC
PC 36:2,C44 H84 N O8 P,785.5935,8.48,,PC
PC 36:2,C44 H84 N O8 P,785.5937,8.28,,PC
PC 36:2,C44 H84 N O8 P,785.5937,8.22,,PC
PC 36:2,C44 H84 N O8 P,785.5932,8.42,,PC
PC 36:3,C44 H82 N O8 P,783.5765,7.54,,PC
PC 36:4,C44 H80 N O8 P,781.5625,7.38,,PC
PC 36:4,C44 H80 N O8 P,781.5618,6.85,,PC
PC 36:4,C44 H80 N O8 P,781.5604,7.32,,PC
PC 37:1,C45 H88 N O8 P,801.6268,9.82,,PC
PC 37:2,C45 H86 N O8 P,799.6101,8.88,,PC
PC 38:1,C46 H90 N O8 P,815.6403,10.01,,PC
PC 38:2,C46 H88 N O8 P,813.6246,9.16,,PC
PC 38:4,C46 H84 N O8 P,809.5934,8.23,,PC
PC 38:5,C46 H82 N O8 P,807.5779,7.4,,PC
PC 40:2,C48 H92 N O8 P,841.6561,9.98,,PC
PC 40:5,C48 H86 N O8 P,835.6091,8.28,,PC
PC 42:2,C50 H96 N O8 P,869.6874,10.73,,PC
PC O-34:3,C42 H80 N O7 P,741.5754,7.96,,PC
PC O-38:5,C46 H84 N O7 P,793.5946,7.99,,PC
PE 14:0_16:1,C35 H68 N O8 P,661.468,6.7,,PE
PE 14:1_16:1,C35 H66 N O8 P,659.4524,5.86,,PE
PE 15:0_16:1,C36 H70 N O8 P,675.4845,6.99,,PE
PE 15:0_18:1(d7),C38 H67 D7 N O8 P,710.5589,8.06,,PE
PE 15:0_18:1(d7),C38 H67 D7 N O8 P,710.559,8.05,,PE
PE 15:1_16:1,C36 H68 N O8 P,673.468,6.3,,PE
PE 16:0_16:1,C37 H72 N O8 P,689.4994,7.64,,PE
PE 16:0_16:1,C37 H72 N O8 P,689.5019,6,,PE
PE 16:0_16:1,C37 H72 N O8 P,689.4994,7.62,,PE
PE 16:0_18:0,C39 H78 N O8 P,719.5466,8.27,,PE
PE 16:0_18:1,C39 H76 N O8 P,717.5306,8.57,,PE
PE 16:0_18:1,C39 H76 N O8 P,717.5307,8.55,,PE
PE 16:0_18:2,C39 H74 N O8 P,715.515,7.8,,PE
PE 16:0_20:4,C41 H74 N O8 P,739.515,7.61,,PE
PE 16:0_20:4,C41 H74 N O8 P,739.5149,7.6,,PE
PE 16:1_16:1,C37 H70 N O8 P,687.4853,6.73,,PE
PE 16:1_16:1,C37 H70 N O8 P,687.484,6.75,,PE
PE 16:1_16:1,C37 H70 N O8 P,687.4841,6.72,,PE
PE 16:1_18:1,C39 H74 N O8 P,715.515,7.66,,PE
PE 16:1_18:1,C39 H74 N O8 P,715.5181,6.54,,PE
PE 16:1_18:1,C39 H74 N O8 P,715.5151,7.65,,PE
PE 16:1_18:2,C39 H72 N O8 P,713.4994,6.89,,PE
PE 16:1_20:1,C41 H78 N O8 P,743.5465,8.55,,PE
PE 16:1_22:1,C43 H82 N O8 P,771.5776,9.4,,PE
PE 17:0_16:1,C38 H74 N O8 P,703.5284,7.94,,PE
PE 17:0_16:1,C38 H74 N O8 P,703.5153,7.92,,PE
PE 17:0_18:2,C40 H76 N O8 P,729.5309,8.28,,PE
PE 17:0_18:2,C40 H76 N O8 P,729.5309,8.26,,PE
PE 18:0_18:1,C41 H80 N O8 P,745.5619,9.47,,PE
PE 18:0_18:1,C41 H80 N O8 P,745.562,9.45,,PE
PE 18:0_18:1,C41 H80 N O8 P,745.5658,8.37,,PE
PE 18:0_18:2,C41 H78 N O8 P,743.5464,8.77,,PE
PE 18:0_18:2,C41 H78 N O8 P,743.5486,7.57,,PE
PE 18:0_18:2,C41 H78 N O8 P,743.5464,8.75,,PE
PE 18:0_18:2,C41 H78 N O8 P,743.5497,7.55,,PE
PE 18:0_20:3,C43 H80 N O8 P,769.5622,8.92,,PE
PE 18:0_20:3,C43 H80 N O8 P,769.5622,8.95,,PE
PE 18:0_20:4,C43 H78 N O8 P,767.5465,8.55,,PE
PE 18:0_20:4,C43 H78 N O8 P,767.5464,8.54,,PE
PE 18:0_22:4,C45 H82 N O8 P,795.5779,9.17,,PE
PE 18:0_22:5,C45 H80 N O8 P,793.5618,8.57,,PE
PE 18:1_18:1,C41 H78 N O8 P,743.5463,8.57,,PE
PE 18:1_18:2,C41 H76 N O8 P,741.5307,7.86,,PE
PE 18:1_18:2,C41 H76 N O8 P,741.5307,7.85,,PE
PE 18:1_20:4,C43 H76 N O8 P,765.5306,7.64,,PE
PE 18:1_20:4,C43 H76 N O8 P,765.5307,7.64,,PE
PE 18:2_18:2,C41 H74 N O8 P,739.5152,7.07,,PE
PE 18:2_18:2,C41 H74 N O8 P,739.5152,7.07,,PE
PE 18:2_20:2,C43 H78 N O8 P,767.5466,8.06,,PE
PE 20:0_18:2,C43 H82 N O8 P,771.5806,8.5,,PE
PE 20:0_20:4,C45 H82 N O8 P,795.5776,8.31,,PE
PE 20:1_18:2,C43 H80 N O8 P,769.5624,7.61,,PE
PE 20:1_18:2,C43 H80 N O8 P,769.5628,7.59,,PE
PE 34:1,C39 H76 N O8 P,717.5311,6.86,,PE
PE 35:1,C40 H78 N O8 P,731.5562,8.86,,PE
PE 35:1,C40 H78 N O8 P,731.5541,8.84,,PE
PE 36:1,C41 H80 N O8 P,745.5648,8.35,,PE
PE 36:2,C41 H78 N O8 P,743.5477,8.55,,PE
PE 38:1,C43 H84 N O8 P,773.5935,10.28,,PE
PE 38:2,C43 H82 N O8 P,771.5786,8.5,,PE
PE 38:2,C43 H82 N O8 P,771.5777,9.38,,PE
PE 38:4,C43 H78 N O8 P,767.5466,8.52,,PE
PG 15:0_18:1(d7),C39 H68 D7 O10 P,741.5537,7.32,,PG
PG 15:0_18:1(d7),C39 H68 D7 O10 P,741.5537,7.29,,PG
PG 16:0_18:1,C40 H77 O10 P,748.5255,7.72,,PG
PG 18:1_18:2,C42 H77 O10 P,772.5255,7.07,,PG
PG 18:2_18:2,C42 H75 O10 P,770.5092,6.38,,PG
PI 15:0_18:1(d7),C42 H72 D7 O13 P,829.5696,7.11,,PI
PI 15:0_18:1(d7),C42 H72 D7 O13 P,829.5694,7.1,,PI
PI 16:0_16:1,C41 H77 O13 P,808.5101,6.71,,PI
PI 16:0_16:1,C41 H77 O13 P,808.51,6.7,,PI
PI 16:0_20:4,C45 H79 O13 P,858.5257,6.72,,PI
PI 16:0_20:4,C45 H79 O13 P,858.5259,6.7,,PI
PI 16:1_16:1,C41 H75 O13 P,806.4944,5.89,,PI
PI 18:0_18:1,C45 H85 O13 P,864.5726,8.49,,PI
PI 18:0_18:2,C45 H83 O13 P,862.5569,7.78,,PI
PI 18:0_18:2,C45 H83 O13 P,862.557,7.76,,PI
PI 18:0_20:2,C47 H87 O13 P,890.5882,8.58,,PI
PI 18:0_20:3,C47 H85 O13 P,888.5726,8.05,,PI
PI 18:0_20:3,C47 H85 O13 P,888.5736,7.97,,PI
PI 18:0_20:4,C47 H83 O13 P,886.557,7.63,,PI
PI 18:0_20:4,C47 H83 O13 P,886.5569,7.61,,PI
PI 18:0_22:4,C49 H87 O13 P,914.5878,8.25,,PI
PI 18:0_22:5,C49 H85 O13 P,912.5725,7.62,,PI
PI 18:1_18:1,C45 H83 O13 P,862.5575,7.61,,PI
PI 18:1_20:4,C47 H81 O13 P,884.5411,6.8,,PI
PI 18:1_20:4,C47 H81 O13 P,884.5415,6.74,,PI
PI 34:1,C43 H81 O13 P,836.5412,7.61,,PI
PI 34:1,C43 H81 O13 P,836.5412,7.59,,PI
PI 36:1,C45 H85 O13 P,864.5724,8.51,,PI
PI 38:2,C47 H87 O13 P,890.5884,8.6,,PI
PS 15:0_18:1(d7),C39 H67 D7 N O10 P,754.5492,7.58,,PS
PS 16:1_18:3,C40 H70 N O10 P,755.4713,6.72,,PS
PS 18:0_18:1,C42 H80 N O10 P,789.5517,8.87,,PS
PS 18:0_18:1,C42 H80 N O10 P,789.5517,8.86,,PS
PS 18:0_18:2,C42 H78 N O10 P,787.5361,8.17,,PS
PS 18:0_18:2,C42 H78 N O10 P,787.5352,9.02,,PS
PS 18:0_18:2,C42 H78 N O10 P,787.5361,8.16,,PS
PS 18:0_20:3,C44 H80 N O10 P,813.5517,8.58,,PS
PS 18:0_20:3,C44 H80 N O10 P,813.5515,8.38,,PS
PS 18:0_20:4,C44 H78 N O10 P,811.5361,7.95,,PS
PS 18:0_22:4,C46 H82 N O10 P,839.5672,8.82,,PS
SE 28:2/21:1,C49 H84 O2,704.6475,13.69,,SE
SM 34:1;O2,C39 H79 N2 O6 P,702.5673,7.29,,SM
SM 36:1;O2,C41 H83 N2 O6 P,730.5987,8.27,,SM
SM d15:1_27:0,C47 H95 N2 O6 P,814.6936,10.53,,SM
SM d17:1_18:0,C40 H81 N2 O6 P,716.583,7.87,,SM
SM d17:1_24:1,C46 H91 N2 O6 P,798.661,9.67,,SM
SM d18:1_16:0,C39 H79 N2 O6 P,702.5675,7.36,,SM
SM d18:1_16:0,C39 H79 N2 O6 P,702.5676,7.35,,SM
SM d18:1_18:1(d9),C41 H72 D9 N2 O6 P,737.64,7.39,,SM
SM d18:1_18:1(d9),C41 H72 D9 N2 O6 P,737.6396,7.42,,SM
SM d18:1_18:1(d9),C41 H72 D9 N2 O6 P,737.6397,7.4,,SM
SM d18:1_24:1,C47 H93 N2 O6 P,812.6769,10.05,,SM
SM d32:0,C37 H77 N2 O6 P,676.552,6.71,,SM
SM d32:1,C37 H75 N2 O6 P,674.5359,6.36,,SM
SM d32:1,C37 H75 N2 O6 P,674.5361,6.35,,SM
SM d33:1,C38 H77 N2 O6 P,688.5517,6.85,,SM
SM d34:0,C39 H81 N2 O6 P,704.583,7.72,,SM
SM d34:1,C39 H79 N2 O6 P,702.5675,7.35,,SM
SM d34:2,C39 H77 N2 O6 P,700.5518,6.46,,SM
SM d34:2,C39 H77 N2 O6 P,700.5517,6.45,,SM
SM d35:1,C40 H81 N2 O6 P,716.5828,7.89,,SM
SM d36:1,C41 H83 N2 O6 P,730.5977,8.31,,SM
SM d36:1,C41 H83 N2 O6 P,730.5987,8.35,,SM
SM d36:1,C41 H83 N2 O6 P,730.5986,8.33,,SM
SM d36:2,C41 H81 N2 O6 P,728.5827,7.43,,SM
SM d37:1,C42 H85 N2 O6 P,744.6133,8.82,,SM
SM d37:1,C42 H85 N2 O6 P,744.6137,8.81,,SM
SM d38:1,C43 H87 N2 O6 P,758.63,9.25,,SM
SM d38:1,C43 H87 N2 O6 P,758.6299,9.3,,SM
