CompoundName,Formula,Mass,RT,LipidClass,LipidABV
Cer 49:0;O3|Cer 25:0;O2/24:0;O,C49 H99 N O4,765.7575,13.51,,Cer
Cer 49:1;O2|Cer 22:1;O2/27:0,C49 H97 N O3,747.7465,13.83,,Cer
Cer 50:1;O2|Cer 22:1;O2/28:0,C50 H99 N O3,761.7623,14.09,,Cer
Cer 50:1;O3|Cer 22:1;O2/28:0;O,C50 H99 N O4,777.7571,13.19,,Cer
Cer 50:2;O2|Cer 22:1;O2/28:1,C50 H97 N O3,759.7458,13.47,,Cer
Cer 51:1;O2|Cer 21:1;O2/30:0,C51 H101 N O3,775.7781,14.24,,Cer
Cer 51:1;O3|Cer 22:1;O2/29:0;O,C51 H101 N O4,791.7716,13.45,,Cer
Cer 51:2;O2|Cer 21:1;O2/30:1,C51 H99 N O3,773.7623,13.74,,Cer
Cer 51:8;O2|Cer 29:2;O2/22:6,C51 H87 N O3,761.6712,10.7,,Cer
Cer 52:1;O2|Cer 22:1;O2/30:0,C52 H103 N O3,789.7939,14.35,,Cer
Cer 52:1;O3|Cer 22:1;O2/30:0;O,C52 H103 N O4,805.7839,13.84,,Cer
Cer 52:1;O3|Cer 22:1;O2/30:0;O,C52 H103 N O4,805.7865,13.85,,Cer
Cer 52:2;O2|Cer 22:1;O2/30:1,C52 H101 N O3,787.7778,14,,Cer
Cer 53:2;O2|Cer 21:1;O2/32:1,C53 H103 N O3,801.7954,14.19,,Cer
Cer 54:1;O3|Cer 20:1;O2/34:0;O,C54 H107 N O4,833.8191,14.27,,Cer
Cer 56:2;O3|Cer 22:1;O2/34:1;O,C56 H109 N O4,859.8344,14.26,,Cer
Cer 67:4;O4|Cer 20:2;O2/47:2;O2,C67 H127 N O5,1025.9708,14.4,,Cer
Cer 70:5;O4|Cer 20:2;O2/50:3;O2,C70 H131 N O5,1066.0024,14.46,,Cer
Cer 71:4;O4|Cer 22:2;O2/49:2;O2,C71 H135 N O5,1082.0332,14.59,,Cer
Cer 72:4;O4|Cer 22:2;O2/50:2;O2,C72 H137 N O5,1096.049,14.61,,Cer
Cer 72:5;O4|Cer 20:2;O2/52:3;O2,C72 H135 N O5,1094.0337,14.54,,Cer
Cer 72:6;O4|Cer 22:2;O2/50:4;O2,C72 H133 N O5,1092.0179,14.48,,Cer
Cer 73:5;O4|Cer 21:2;O2/52:3;O2,C73 H137 N O5,1108.0497,14.58,,Cer
Cer_ADS d16:0_13:0,C29 H59 N O4,485.4444,5.87,,Cer_ADS
Cer_ADS d16:0_14:0,C30 H61 N O4,499.46,6.34,,Cer_ADS
Cer_ADS d16:0_14:0,C30 H61 N O4,499.46,6.33,,Cer_ADS
Cer_ADS d16:0_16:0,C32 H65 N O4,527.4915,7.34,,Cer_ADS
Cer_ADS d16:0_16:0,C32 H65 N O4,527.4915,7.33,,Cer_ADS
Cer_ADS d16:0_24:0,C40 H81 N O4,639.6159,10.04,,Cer_ADS
Cer_ADS d16:0_24:0,C40 H81 N O4,639.6167,10.99,,Cer_ADS
Cer_ADS d17:0_14:0,C31 H63 N O4,513.4759,6.83,,Cer_ADS
Cer_ADS d17:0_16:0,C33 H67 N O4,541.5074,7.87,,Cer_ADS
Cer_ADS d17:0_16:0,C33 H67 N O4,541.5072,7.85,,Cer_ADS
Cer_ADS d18:0_16:0,C34 H69 N O4,555.5229,8.33,,Cer_ADS
Cer_ADS d18:0_16:0,C34 H69 N O4,555.5229,8.32,,Cer_ADS
Cer_ADS d18:0_25:0,C43 H87 N O4,681.6631,11.24,,Cer_ADS
Cer_ADS d19:0_16:0,C35 H71 N O4,569.5382,8.83,,Cer_ADS
Cer_ADS d19:0_16:0,C35 H71 N O4,569.5382,8.62,,Cer_ADS
Cer_ADS d19:0_26:0,C45 H91 N O4,709.6948,12.76,,Cer_ADS
Cer_ADS d19:0_29:0,C48 H97 N O4,751.7409,12.93,,Cer_ADS
Cer_ADS d20:0_22:0,C42 H85 N O4,667.6475,10.86,,Cer_ADS
Cer_ADS d20:0_24:0,C44 H89 N O4,695.6786,11.63,,Cer_ADS
Cer_ADS d21:0_18:0,C39 H79 N O4,625.6006,9.59,,Cer_ADS
Cer_ADS d22:0_14:0,C36 H73 N O4,583.5537,8.17,,Cer_ADS
Cer_ADS d22:0_14:0,C36 H73 N O4,583.5538,7.65,,Cer_ADS
Cer_ADS d22:0_16:0,C38 H77 N O4,611.5854,10.16,,Cer_ADS
Cer_ADS d23:0_13:0,C36 H73 N O4,583.5539,8.77,,Cer_ADS
Cer_ADS d26:0_13:0,C39 H79 N O4,625.6005,9.61,,Cer_ADS
Cer_ADS d26:0_15:1,C41 H81 N O4,651.616,9.75,,Cer_ADS
Cer_ADS d30:0,C30 H61 N O4,499.46,6.34,,Cer_ADS
Cer_ADS d30:0_21:0,C51 H103 N O4,793.7884,14.09,,Cer_ADS
