CompoundID,CompoundName,Formula,Phase,Mass,RT,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
DG.38:3__Pp,DG 38:3,C41 H74 O5,Positive Phase,646.5546,9.82,0,0,0,21829.87762,32929.04864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87544.95499,51117.24091,38910.10346,0,0,0,0,28022.07114
DG.38:4|DG.18:0_20:4__Pp,DG 38:4|DG 18:0_20:4,C41 H72 O5,Positive Phase,644.5374,9.7,0,0,35646.43926,34128.4575,64821.56552,47955.21289,39914.61515,0,0,28970.51378,0,0,0,32459.05823,25130.80622,73195.92934,0,0,0,36248.37185,0,26451.55462,64987.97276,21257.45856,20243.26802,0,39817.37121
DG.39:3__Pp,DG 39:3,C42 H76 O5,Positive Phase,660.5691,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52983.416,0,0,0,0,0,0,0
DG.40:5__Pp,DG 40:5,C43 H74 O5,Positive Phase,670.5537,12.03,0,0,63168.09406,57543.22191,0,28437.22351,0,0,0,0,0,0,0,49380.51061,26057.30092,0,0,0,0,0,0,0,0,0,29655.21755,0,0
DG.40:6__Pp,DG 40:6,C43 H72 O5,Positive Phase,668.5375,7.53,21930.9054,27188.41295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161246.6764,0,0,0,0,25038.97385,0,0
DG.40:9__Pp,DG 40:9,C43 H66 O5,Positive Phase,662.4918,8.04,94305.19382,116913.0278,39516.81707,89248.42976,38822.61089,274814.924,265013.432,104075.8303,242178.4163,78168.62825,118908.5687,56182.16997,299469.8886,44002.51434,79122.28647,60257.72409,78182.702,74307.43477,24176.86807,162561.0082,65391.35656,124781.2357,149281.4541,70114.01878,84633.35735,56225.66828,36760.64587
DG.41:2__Pp,DG 41:2,C44 H82 O5,Positive Phase,690.6164,9.94,0,0,0,22974.6085,13944.82463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100220.0891,0,0,0,0,21812.77144,0,0
DG.42:4__Pp,DG 42:4,C45 H80 O5,Positive Phase,700.5967,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10511.56961,0,0,0,17349.96986,0,0
DG.43:2__Pp,DG 43:2,C46 H86 O5,Positive Phase,718.6472,10.69,39058.5488,48422.07536,0,34178.08821,0,0,0,0,0,0,0,0,40505.0569,46270.64641,34143.29714,0,0,0,0,159346.0547,0,0,46449.72684,0,26436.88184,0,0
DG.43:3__Pp,DG 43:3,C46 H84 O5,Positive Phase,716.6318,9.94,27222.09566,33748.06306,0,0,29066.30837,0,0,0,0,0,0,0,38953.73071,33294.2872,31611.63507,0,0,0,0,130523.8264,0,0,0,0,37541.4495,0,0
DG.43:7__Pp,DG 43:7,C46 H76 O5,Positive Phase,708.5689,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76974.7158,0,0,0,0,0,0,0
DG.43:8__Pp,DG 43:8,C46 H74 O5,Positive Phase,706.5553,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77216.00489,0,0,0,0,0,0,0
DG.44:12__Pp,DG 44:12,C47 H68 O5,Positive Phase,712.5117,6.7,98382.13759,121967.3395,125902.2172,38194.85799,96590.80725,42169.35929,146940.4376,65023.64731,59129.50387,81830.99304,143465.8792,38905.11233,61198.14119,130202.22,122992.4064,151435.9886,122550.4724,145201.7571,81996.65242,150148.8486,137299.8438,71163.46279,113293.2435,134978.1577,102123.4933,100966.6222,122690.1311
DG.45:3__Pp,DG 45:3,C48 H88 O5,Positive Phase,744.6631,10.7,46231.24396,57314.28454,0,59963.29988,71813.18076,68432.28312,0,0,21836.82095,0,0,48162.22127,49380.20113,30250.04634,48928.15297,55750.86301,0,0,24268.43399,210013.5589,0,47648.18679,67196.56003,0,54285.44892,0,0
DG.45:4__Pp,DG 45:4,C48 H86 O5,Positive Phase,742.6515,8.57,24740.94804,30672.10861,0,0,23047.94633,29249.64128,30796.93869,13438.11804,35214.45814,0,0,14650.0508,0,31572.27513,0,26121.27238,0,29322.36534,13189.66942,26352.43176,35469.23571,0,34467.61262,10497.41991,28083.33419,17921.22322,0
DG.45:9__Pp,DG 45:9,C48 H76 O5,Positive Phase,732.5699,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24926.7564,0,0,0,0,0,0,0
DG.46:8__Pp,DG 46:8,C49 H80 O5,Positive Phase,748.602,4.45,16031.35514,19874.56039,0,0,16736.26892,10587.26578,19301.41322,0,9287.400952,0,0,0,0,0,0,0,32852.66891,0,13501.35311,0,19523.70747,11566.166,36646.09925,16254.88023,0,0,0
DG.46:8_1__Pp,DG 46:8_1,C49 H80 O5,Positive Phase,748.6001,11.68,22400.51932,27770.60766,0,44659.11329,25783.89776,0,0,0,0,0,0,49082.18371,0,35863.26,39311.05363,0,0,0,0,129500.5031,0,0,0,0,28155.64559,0,0
DG.47:7__Pp,DG 47:7,C50 H84 O5,Positive Phase,764.6323,12.75,47891.13512,59372.10228,61268.31616,82176.89626,44108.86516,82952.84953,83864.69868,42948.0544,30346.05203,72608.78417,57772.97322,44898.59545,47526.08676,0,70078.26778,83452.65464,40003.82606,56576.06195,31204.53566,141130.5706,28776.39664,71724.21018,102169.6114,71890.78799,34737.30722,40516.77667,90786.05951
